AL,Alabama,Montgomery,1819
AK,Alaska,Juneau,1959
AZ,Arizona,Phoenix,1912
AR,Arkansas,Little Rock,1836
CA,California,Sacramento,1850
CO,Colorado,Denver,1876
CT,Connecticut,Hartford,1788
DE,Delaware,Dover,1787
FL,Florida,Tallahassee,1845
GA,Georgia,Atlanta,1788
HI,Hawaii,Honolulu,1959
ID,Idaho,Boise,1890
IL,Illinois,Springfield,1818
IN,Indiana,Indianapolis,1816
IA,Iowa,Des Moines,1846
KS,Kansas,Topeka,1861
KY,Kentucky,Frankfort,1792
LA,Louisiana,Baton Rouge,1812
ME,Maine,Augusta,1820
MD,Maryland,Annapolis,1788
MA,Massachusetts,Boston,1788
MI,Michigan,Lansing,1837
MN,Minnesota,St. Paul,1858
MS,Mississippi,Jackson,1817
MO,Missouri,Jefferson City,1821
MT,Montana,Helena,1889
NE,Nebraska,Lincoln,1867
NV,Nevada,Carson City,1864
NH,New Hampshire,Concord,1788
NJ,New Jersey,Trenton,1787
NM,New Mexico,Santa Fe,1912
NY,New York,Albany,1788
NC,North Carolina,Raleigh,1789
ND,North Dakota,Bismarck,1889
OH,Ohio,Columbus,1803
OK,Oklahoma,Oklahoma City,1907
OR,Oregon,Salem,1859
PA,Pennsylvania,Harrisburg,1787
RI,Rhode Island,Providence,1790
SC,South Carolina,Columbia,1788
SD,South Dakota,Pierre,1889
TN,Tennessee,Nashville,1796
TX,Texas,Austin,1845
UT,Utah,Salt Lake City,1896
VT,Vermont,Montpelier,1791
VA,Virginia,Richmond,1788
WA,Washington,Olympia,1889
WV,West Virginia,Charleston,1863
WI,Wisconsin,Madison,1848
WY,Wyoming,Cheyenne,1890
